Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Asha Devi Aryanayakam,1954,PadmaShri,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/Asha_Devi_Aryanayakam,"1901
Lahore, British India",1901,"Lahore, British India",1972,1972,n/a,,E. R. W. Aranyakam,,,Padma Shri,Rajendra Prasad,,No,No
Bir Bhan Bhatia,1954,PadmaShri,Delhi,Medicine,https://en.wikipedia.org/wiki/Bir_Bhan_Bhatia,"30 August 1900
Abottabad,British India",30 August 1900,"Abottabad,British India","13 May 1962
Lucknow,Uttar Pradesh, India",13 May 1962,"Lucknow,Uttar Pradesh, India",,"Shanti Devi
Norah",,,Padma Shri,Rajendra Prasad,Physician,No,No
Perin Captain,1954,PadmaShri,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/Perin_Captain,"12 October 1888
Mandvi,Kutch District,Gujarat, India",12 October 1888,"Mandvi,Kutch District,Gujarat, India",1958,1958,n/a,,Dhunjisha S. Captain,,,Padma Shri,Rajendra Prasad,,No,No
K. R. Chakravorty,1954,PadmaShri,West Bengal,Science & Engineering,https://en.wikipedia.org/wiki/Kshitish_Ranjan_Chakravorty,"(1916-02-01)February 1, 1916
West Bengal, India","(1916-02-01)February 1, 1916","West Bengal, India",,n/a,n/a,,,,Fertilizer Corporation of India,1954Padma Shri1968Shanti Swarup Bhatnagar Prize,Rajendra Prasad,,No,No
Amalprava Das,1954,PadmaShri,Assam,Public Affairs,https://en.wikipedia.org/wiki/Amalprava_Das,"12 November 1911
Dibrugarh,Assam, India",12 November 1911,"Dibrugarh,Assam, India",,n/a,n/a,,,,,"Padma Shri
Jamnalal Bajaj Award",Rajendra Prasad,Social worker,No,No
Mathura Das,1954,PadmaShri,Assam,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Surinder Kumar Dey,1954,PadmaShri,West Bengal,Civil Service,https://en.wikipedia.org/wiki/S._K._Dey,"Surinder Kumar Dey
(1906-09-13)13 September 1906
Laxmibassa village,Bangladesh",(1906-09-13)13 September 1906,n/a,1989 (aged 82–83),1989 (aged 82–83),n/a,,,,,,Rajendra Prasad,,No,No
Ramji Vasant Khanolkar,1954,PadmaShri,Maharashtra,Medicine,https://en.wikipedia.org/wiki/V._R._Khanolkar,(1895-04-13)13 April 1895,(1895-04-13)13 April 1895,n/a,29 October 1978(1978-10-29)(aged 83),29 October 1978(1978-10-29)(aged 83),n/a,Indian,,,,Padma Bhushan(1954),Rajendra Prasad,,No,No
Achamma Mathai,1954,PadmaShri,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/Achamma_Mathai,"Kerala, India",n/a,n/a,,n/a,n/a,,John Mathai,,,Padma Shri,Rajendra Prasad,Social worker,No,No
Bhag Mehta,1954,PadmaShri,Gujarat,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
