Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Homi Jehangir Bhabha,1954,PadmaBushan,Maharashtra,Science & Engineering,https://en.wikipedia.org/wiki/Homi_J._Bhabha,"(1909-10-30)30 October 1909
Bombay,British India(present-dayMumbai, India)",(1909-10-30)30 October 1909,"Bombay,British India(present-dayMumbai, India)","24 January 1966(1966-01-24)(aged 56)
Mont Blanc, Alps",24 January 1966(1966-01-24)(aged 56),"Mont Blanc, Alps",Indian,,,"Atomic Energy Commission of India
Tata Institute of Fundamental Research
Cavendish Laboratory
Indian Institute of Science
Trombay Atomic Energy Establishment","Adams Prize(1942)
Padma Bhushan(1954)
Fellow of the Royal Society[1]",Rajendra Prasad,,No,No
Shanti Swaroop Bhatnagar,1954,PadmaBushan,Uttar Pradesh,Science & Engineering,https://en.wikipedia.org/wiki/Shanti_Swaroop_Bhatnagar,"(1894-02-21)21 February 1894
Bhera,Punjab Province,British India
(now inPakistan)",(1894-02-21)21 February 1894,"Bhera,Punjab Province,British India
(now inPakistan)","1 January 1955(1955-01-01)(aged 60)
New Delhi, India",1 January 1955(1955-01-01)(aged 60),"New Delhi, India",Indian,,,"Council of Scientific and Industrial Research
Banaras Hindu University",Padma Bhushan(1954)Knight Bachelor(1941)OBE(1936)Fellow of the Royal Society(1943)[1],Rajendra Prasad,,No,No
Mahadeva Iyer Ganapati,1954,PadmaBushan,Odisha,Civil Service,https://en.wikipedia.org/wiki/Mahadeva_Iyer_Ganapati,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Jnan Chandra Ghosh,1954,PadmaBushan,West Bengal,Science & Engineering,https://en.wikipedia.org/wiki/Jnan_Chandra_Ghosh,"(1894-09-04)4 September 1894
Giridih,Purulia District,British India",(1894-09-04)4 September 1894,"Giridih,Purulia District,British India","21 January 1959(1959-01-21)(aged 64)
Calcutta,India",21 January 1959(1959-01-21)(aged 64),"Calcutta,India",Indian,,,"Dhaka University
Indian Institute of Science
Indian Institute of Technology, Kharagpur
University of Calcutta",Padma Bhushan,Rajendra Prasad,,No,No
Radha Krishan Gupta,1954,PadmaBushan,Delhi,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Maithili Sharan Gupt,1954,PadmaBushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Maithili_Sharan_Gupt,"(1886-08-03)3 August 1886
Chirgaon,North-Western Provinces,British India",(1886-08-03)3 August 1886,"Chirgaon,North-Western Provinces,British India","(1964-12-12)12 December 1964
(aged 78)
India",(1964-12-12)12 December 1964,"(aged 78)
India",Indian,Shrimati Sarju Devi,,,Padma Bhushan(1954),Rajendra Prasad,"Poet,politician,dramatist,translator",No,No
R. R. Handa,1954,PadmaBushan,Punjab,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Amarnath Jha,1954,PadmaBushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Amarnath_Jha,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Ajudhiya Nath Khosla,1954,PadmaBushan,Delhi,Science & Engineering,https://en.wikipedia.org/wiki/Ajudhiya_Nath_Khosla,"(1892-12-11)11 December 1892
New Delhi",(1892-12-11)11 December 1892,New Delhi,1984(1984-00-00)(aged 91–92),1984(1984-00-00)(aged 91–92),n/a,Indian,,,,"Padma Bhushan, 1954Shanti Swarup Bhatnagar Prize, 1974Padma Vibhushan, 1977",Rajendra Prasad,"engineer,educationistand social activist",No,No
Kariamanickam Srinivasa Krishnan,1954,PadmaBushan,Tamil Nadu,Science & Engineering,https://en.wikipedia.org/wiki/Kariamanickam_Srinivasa_Krishnan,"(1898-12-04)4 December 1898
Watrap, Tamil Nadu, India",(1898-12-04)4 December 1898,"Watrap, Tamil Nadu, India",14 June 1961(1961-06-14)(aged 62),14 June 1961(1961-06-14)(aged 62),n/a,Indian,,,"Madras Christian College
Indian Association for the Cultivation of Science
Dacca University
Allahabad University
National Physical Laboratory of India",FRS(1940)[1]Padma Bhushan(1954)Knight BachelorBhatnagar Award,Rajendra Prasad,,No,No
Hussain Ahmad Madani,1954,PadmaBushan,Punjab,Literature & Education,https://en.wikipedia.org/wiki/Husain_Ahmad_Madani,"(1879-10-06)6 October 1879
Bangarmau,North-Western Provinces,British India",(1879-10-06)6 October 1879,"Bangarmau,North-Western Provinces,British India","5 December 1957(1957-12-05)(aged 78)
Deoband,Uttar Pradesh,India",5 December 1957(1957-12-05)(aged 78),"Deoband,Uttar Pradesh,India",,,,,,Rajendra Prasad,,No,No
Josh Malihabadi,1954,PadmaBushan,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Josh_Malihabadi,"Shabbir Hasan Khan
5 December 1898
Malihabad,North-Western Provinces,British India",5 December 1898,n/a,"22 February 1982(1982-02-22)(aged 83)
Islamabad,Pakistan",22 February 1982(1982-02-22)(aged 83),"Islamabad,Pakistan","Indian(till 1956)
Pakistani(1956 till death)",,,,"Padma Bhushan(1954) by theGovernment of India
Hilal-e-Imtiaz(2013) by thePresident of Pakistan",Rajendra Prasad,"Poet, Thinker, Visionary, Linguist",No,No
V. L. Mehta,1954,PadmaBushan,Gujarat,Public Affairs,https://en.wikipedia.org/wiki/Vaikunthbhai_Mehta,"26 October 1891
Bhavnagar,GujaratIndia",26 October 1891,"Bhavnagar,GujaratIndia","27 October 1964
Pune,India",27 October 1964,"Pune,India",,,,,,Rajendra Prasad,,No,No
Vallathol Narayana Menon,1954,PadmaBushan,Kerala,Literature & Education,https://en.wikipedia.org/wiki/Vallathol_Narayana_Menon,"(1878-10-16)16 October 1878
Mangalam,Tirur,Malabar District,Madras Presidency,British India(Present dayMalappuram district,Kerala,India)",(1878-10-16)16 October 1878,"Mangalam,Tirur,Malabar District,Madras Presidency,British India(Present dayMalappuram district,Kerala,India)",13 March 1958(1958-03-13)(aged 79),13 March 1958(1958-03-13)(aged 79),n/a,Indian,,,,Padma Bhushan(1954),Rajendra Prasad,"Malayalam Poet, translator",No,No
A. Lakshmanaswami Mudaliar,1954,PadmaBushan,Tamil Nadu,Literature & Education,https://en.wikipedia.org/wiki/A._Lakshmanaswami_Mudaliar,14 October 1887,14 October 1887,n/a,"15 April 1974 (aged 86)[1]
Madras, India",15 April 1974 (aged 86)[1],"Madras, India",Indian,,,,"Padma Bhushan,Padma Vibhushan",Rajendra Prasad,,No,No
Maharaj Kr. Palden T Namgyal,1954,PadmaBushan,Punjab,Public Affairs,https://en.wikipedia.org/wiki/Palden_Thondup_Namgyal,"(1923-05-23)23 May 1923
Gangtok,Kingdom of Sikkim",(1923-05-23)23 May 1923,"Gangtok,Kingdom of Sikkim","29 January 1982(1982-01-29)(aged 58)
New York City,New York,U.S.",29 January 1982(1982-01-29)(aged 58),"New York City,New York,U.S.",,"Samyo Kushoe Sangideki(1950–1957)
Hope Cooke(1963–1980)",,,,Rajendra Prasad,,No,No
V. Narahari Rao,1954,PadmaBushan,Karnataka,Civil Service,https://en.wikipedia.org/wiki/V._Narahari_Rao,Indian,n/a,n/a,,n/a,n/a,,,,,Padma Bhushan,Rajendra Prasad,Civil servant,No,No
Pandyala Satyanarayana Rau,1954,PadmaBushan,Andhra Pradesh,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
