Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Satyendra Nath Bose,1954,PadmaVibhushan,West Bengal,Science & Engineering,https://en.wikipedia.org/wiki/Satyendra_Nath_Bose,"(1894-01-01)1 January 1894
Calcutta,Bengal Presidency, British India",(1894-01-01)1 January 1894,"Calcutta,Bengal Presidency, British India","4 February 1974(1974-02-04)(aged 80)
Calcutta, India[1]",4 February 1974(1974-02-04)(aged 80),"Calcutta, India[1]",Indian,Ushabati Bose (née Ghosh[2]),,"University of Calcutta
University of Dhaka
Visva-Bharati","Padma Vibhushan
Fellow of the Royal Society[3]",Rajendra Prasad,,No,No
Nandalal Bose,1954,PadmaVibhushan,West Bengal,Arts,https://en.wikipedia.org/wiki/Nandalal_Bose,"(1882-12-03)3 December 1882
Haveli Kharagpur,Bengal Presidency,British India
(now inBihar,India)[1]",(1882-12-03)3 December 1882,"Haveli Kharagpur,Bengal Presidency,British India
(now inBihar,India)[1]","16 April 1966(1966-04-16)(aged 83)
Calcutta,West Bengal, India",16 April 1966(1966-04-16)(aged 83),"Calcutta,West Bengal, India",Indian,,,,Padma Vibhushan(1954),Rajendra Prasad,,No,No
Zakir Husain,1954,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Zakir_Husain_(politician),"(1897-02-08)8 February 1897
Hyderabad,British India[1]",(1897-02-08)8 February 1897,"Hyderabad,British India[1]","3 May 1969(1969-05-03)(aged 72)
New Delhi, India",3 May 1969(1969-05-03)(aged 72),"New Delhi, India",,Shah Jahan Begum,"University of Lucknow
Mohammedan Anglo-Oriental College Aligarh(MA)
University of Berlin(PhD)",,"Bharat Ratna(1963)
Padma Vibhushan",Rajendra Prasad,,No,No
Balasaheb Gangadhar Kher,1954,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/B._G._Kher,"24 August 1888
Ratnagiri,Bombay Presidency,India",24 August 1888,"Ratnagiri,Bombay Presidency,India","8 March 1957(1957-03-08)(aged 68)
Pune,Bombay State,India",8 March 1957(1957-03-08)(aged 68),"Pune,Bombay State,India",,,Wilson College,,,Rajendra Prasad,,No,No
V. K. Krishna Menon,1954,PadmaVibhushan,Kerala,Public Affairs,https://en.wikipedia.org/wiki/V._K._Krishna_Menon,"Vengalil Krishna Kurup Krishna Menon
(1896-05-03)3 May 1896
Tellicherry,Malabar District,Madras Presidency,British India
(present-dayThalassery,Kannur district,Kerala,India)",(1896-05-03)3 May 1896,n/a,"6 October 1974(1974-10-06)(aged 78)
Delhi, India",6 October 1974(1974-10-06)(aged 78),"Delhi, India",,,"Presidency College(BA)
Madras Law College
London School of Economics(BSc,MSc)
University College London(MA)
Middle Temple(Barrister-at-Law)",,Padma Vibhushan(1954),Rajendra Prasad,,No,No
Jigme Dorji Wangchuck,1954,PadmaVibhushan,—[A],Public Affairs,https://en.wikipedia.org/wiki/Jigme_Dorji_Wangchuck,"(1929-05-02)2 May 1929
Thruepang Palace,Trongsa",(1929-05-02)2 May 1929,"Thruepang Palace,Trongsa","21 July 1972(1972-07-21)(aged 43)
Nairobi,Kenya",21 July 1972(1972-07-21)(aged 43),"Nairobi,Kenya",,AshiKesang Choden,,,,Rajendra Prasad,,No,No
Dhondo Keshav Karve,1955,PadmaVibhushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Dhondo_Keshav_Karve,"(1858-04-18)18 April 1858
Dapoli,Bombay Presidency,British India",(1858-04-18)18 April 1858,"Dapoli,Bombay Presidency,British India","9 November 1962(1962-11-09)(aged 104)
Pune,Maharashtra,India",9 November 1962(1962-11-09)(aged 104),"Pune,Maharashtra,India",,Radhabai and Godubai,,,,Rajendra Prasad,ProfessorActivistWriterSocial Worker,No,No
J. R. D. Tata,1955,PadmaVibhushan,Maharashtra,Trade & Industry,https://en.wikipedia.org/wiki/J._R._D._Tata,"(1904-07-29)29 July 1904
Paris,France",(1904-07-29)29 July 1904,"Paris,France","29 November 1993(1993-11-29)(aged 89)
Geneva,Switzerland",29 November 1993(1993-11-29)(aged 89),"Geneva,Switzerland",,Thelma Vicaji Tata,,,Bharat Ratna,Rajendra Prasad,Businessman,No,No
Fazal Ali,1956,PadmaVibhushan,Bihar,Public Affairs,https://en.wikipedia.org/wiki/Fazal_Ali,19 September 1886,19 September 1886,n/a,22 August 1959(1959-08-22)(aged 72),22 August 1959(1959-08-22)(aged 72),n/a,,,,,,Rajendra Prasad,,No,No
Jankibai Bajaj,1956,PadmaVibhushan,Madhya Pradesh,Social Work,https://en.wikipedia.org/wiki/Janaki_Devi_Bajaj,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
